issueId,prId,prTitle,prDescription,prStatus,prFilePaths,prCreatorLoginId,prCreatedDate,prMergedDate

54564,54569,Add shellcheck to CI to validate dev container entrypoint,"Fix: https://github.com/rails/rails/issues/54564
 Fix: https://github.com/rails/rails/pull/54565
 
 This would catch issues such as https://github.com/rails/rails/pull/54565 early. Shellcheck isn't just a linter  it is really good at catching shell script issues  I never write a script without it.",closed,.devcontainer/boot.sh; .github/workflows/devcontainer-shellcheck.yml; .github/workflows/devcontainer-smoke-test.yml,byroot,2025-02-19T09:10:31Z,2025-02-19T09:25:20Z

54563,54687,Stop generating bundler binstub:,"### Motivation / Background
 
 - Fix #54563
 - Prevent `rails new` from throwing a warning and `bin/rails g authentication` from crashing when Bundler cuts a new release.
 
 ### Detail
 
 In a future version of Bundler  running `bundle binstub bundler` will no longer generate a `bin/bundle` binstub. The reason for this change upstream is well explained in https://github.com/rubygems/rubygems/pull/8345.
 
 #### Problem
 
 When the change in Bundler is cut into a release  generating new rails application will throw a Bundler warning  and the AuthenticationGenerator which makes use of `bin/bundle` will stop working.
 
 #### Solution
 
 Stop generating a bundler binstub and modify the generator to use the same bundler command as the rest of the codebase.
 
 ### Checklist
 
 Before submitting the PR make sure the following are checked:
 
 * [x] This Pull Request is related to one change. Unrelated changes should be opened in separate PRs.
 * [x] Commit message has a detailed description of what changed and why. If this PR fixes a related issue include it in the commit message. Ex: `[Fix #issue-number]`
 * [x] Tests are added or updated if you fix a bug or add a feature.
 * [x] CHANGELOG files are updated for the changed libraries if there is a behavior change or additional feature. Minor bug fixes and documentation changes should not be included.
 ",closed,guides/source/working_with_javascript_in_rails.md; railties/CHANGELOG.md; railties/lib/rails/generators/app_base.rb; railties/lib/rails/generators/bundle_helper.rb; railties/lib/rails/generators/rails/app/app_generator.rb; railties/lib/rails/generators/rails/authentication/authentication_generator.rb; railties/test/generators/app_generator_test.rb; railties/test/generators/authentication_generator_test.rb,Edouard-chin,2025-03-04T17:00:00Z,2025-03-05T05:03:55Z

54560,54561,Fix `update_all` producing a broken query when using more than one join on the target:,"- Fix #54560
 - `update_all` would produce a broken query when using more than one JOIN on the target.
 
 ```ruby
 Developer.join(:computer  :mentor).update_all(ready: true)
 ```
 
 ### Before
 
 ```sql
 UPDATE developers SET ready = true FROM computers JOIN mentors on mentors.id = developers.mentor_id WHERE developer.computer_id = computer.id; # We can't make a JOIN on the developer table  this should in the FROM clause.
 # We can't make a join on the target  that's what the FROM clause is used for.
 ```
 
 ### After
 
 ```sql
 UPDATE developers SET ready = true FROM computers  mentors WHERE developer.computer_id = computer.id AND developers.mentor_id = mentors.id;
 ```
 
 ### Checklist
 
 Before submitting the PR make sure the following are checked:
 
 * [x] This Pull Request is related to one change. Unrelated changes should be opened in separate PRs.
 * [x] Commit message has a detailed description of what changed and why. If this PR fixes a related issue include it in the commit message. Ex: `[Fix #issue-number]`
 * [x] Tests are added or updated if you fix a bug or add a feature.
 * [ ] CHANGELOG files are updated for the changed libraries if there is a behavior change or additional feature. Minor bug fixes and documentation changes should not be included.
 ",closed,activerecord/lib/arel/visitors/postgresql.rb; activerecord/lib/arel/visitors/sqlite.rb; activerecord/test/cases/relation/update_all_test.rb,Edouard-chin,2025-02-18T06:25:37Z,2025-02-20T08:31:14Z

54556,54585,Deserialize column defaults,"Fix: https://github.com/rails/rails/issues/54556
 
 When getting an integer value from the database  all adapters will create return a real integer. But when we initialize an attribute from the column defaults  the attribute is given a string  that's inconsistent.
 ",closed,activerecord/lib/active_record/attributes.rb; activerecord/test/cases/adapters/postgresql/geometric_test.rb; activerecord/test/cases/adapters/postgresql/money_test.rb; activerecord/test/cases/defaults_test.rb,byroot,2025-02-21T11:08:40Z,2025-02-24T09:11:17Z

54529,54649,[ci skip] Document pluralize_table_names limitation with Rails generators,"### Motivation / Background
 
 Fixes #54529
 
 Some Rails installers (like Active Storage and Action Text) create tables with plural names regardless of the `pluralize_table_names` setting. This can cause confusion for users who have set `pluralize_table_names` to `false` expecting all table names to be singular. This PR adds documentation to clearly warn users about this limitation and the necessary manual steps they need to take.
 
 ### Detail
 
 This Pull Request adds a warning note in the `config.active_record.pluralize_table_names` section of the configuration guide (`guides/source/configuring.md`).
 
 ### Additional information
 
 Related discussions:
 - Active Storage plural tables: #52970
 - Action Text plural tables: #54529
 
 ### Checklist
 
 Before submitting the PR make sure the following are checked:
 
 * [x] This Pull Request is related to one change. Unrelated changes should be opened in separate PRs.
 * [x] Commit message has a detailed description of what changed and why. 
 * [x] Tests are added or updated if you fix a bug or add a feature.
 * [x] CHANGELOG files are updated for the changed libraries if there is a behavior change or additional feature.",closed,guides/source/configuring.md,yedhink,2025-02-28T06:24:02Z,2025-03-10T15:45:08Z

54518,54530,Only generate an UPDATE/FROM if the first join is an INNER JOIN,"Fix: https://github.com/rails/rails/issues/54518
 Followup: https://github.com/rails/rails/pull/53950
 
 SQLite3 and PostgreSQL dialects aren't flexible enough to allow more than a simple join.
 
 ```sql
 UPDATE ""main_table""
 SET ...
 FROM ""joined_table""
 WHERE joined_table.foreign_key = main_table.primary_key
 ```
 
 So if the first join is anything other than a regular INNER JOIN we have no choice but to degrade to the subquery scheme.
 ",closed,activerecord/lib/arel/visitors/postgresql.rb; activerecord/lib/arel/visitors/sqlite.rb; activerecord/test/cases/relation/update_all_test.rb,byroot,2025-02-14T09:12:37Z,2025-02-15T09:07:22Z

54501,54686,Generate mailer files in auth generator only if ActionMailer is used,"### Motivation / Background
 
 This Pull Request has been created because if the authentication generator is run in an app created with `--skip-action-mailer`  the app will be silently broken. When deployed to an environment where `eager_load` is true  the app will fail to start as the generated `PasswordMailer` inherits from a nonexistent `ApplicationMailer`.
 
 Fixes #54501 
 
 ### Detail
 
 This Pull Request changes the authentication generator to skip all of the mailer-related files if `ActionMailer` is not defined. Also leave `PasswordsController#create` as blank to be implemented by the user.
 
 ### Additional information
 
 In my use case  a simple login was enough  and I created user(s) manually in a console. I do not need a password reset flow. An alternative approach would be to require an app to have `ActionMailer` to run the generator.
 
 ### Checklist
 
 Before submitting the PR make sure the following are checked:
 
 * [x] This Pull Request is related to one change. Unrelated changes should be opened in separate PRs.
 * [x] Commit message has a detailed description of what changed and why. If this PR fixes a related issue include it in the commit message. Ex: `[Fix #issue-number]`
 * [x] Tests are added or updated if you fix a bug or add a feature.
 * [x] CHANGELOG files are updated for the changed libraries if there is a behavior change or additional feature. Minor bug fixes and documentation changes should not be included.
 ",closed,railties/CHANGELOG.md; railties/lib/rails/generators/rails/authentication/authentication_generator.rb; railties/lib/rails/generators/rails/authentication/templates/app/controllers/passwords_controller.rb.tt; railties/test/generators/authentication_generator_test.rb,ramimassoud,2025-03-04T15:17:49Z,2025-03-11T19:27:05Z

54487,54488,Avoid undefined String#squish in Rails::TestUnit,"Fix: https://github.com/rails/rails/issues/54487
 
 We could also load the method  but it doesn't seem really necessary here. Might as well simpligy the code.
 ",closed,railties/lib/rails/test_unit/runner.rb,byroot,2025-02-10T21:31:36Z,2025-02-10T21:40:39Z

54471,54472,Pass keyword arguments to PostgreSQL Adapter Table methods,"<!--
 Thanks for contributing to Rails!
 
 Please do not make *Draft* pull requests  as they still send
 notifications to everyone watching the Rails repo.
 
 Create a pull request when it is ready for review and feedback
 from the Rails team :).
 
 If your pull request affects documentation or any non-code
 changes  guidelines for those changes are [available
 here](https://edgeguides.rubyonrails.org/contributing_to_ruby_on_rails.html#contributing-to-the-rails-documentation)
 
 About this template
 
 The following template aims to help contributors write a good description for their pull requests.
 We'd like you to provide a description of the changes in your pull request (i.e. bugs fixed or features added)  the motivation behind the changes  and complete the checklist below before opening a pull request.
 
 Feel free to discard it if you need to (e.g. when you just fix a typo). -->
 
 ### Motivation / Background
 
 <!--
 Describe why this Pull Request needs to be merged. What bug have you fixed? What feature have you added? Why is it important?
 If you are fixing a specific issue  include ""Fixes #ISSUE"" (replace with the issue number  remove the quotes) and the issue will be linked to this PR.
 -->
 
 Fixes #54471
 
 ### Detail
 
 `t.exclusion_constraint` and `t.unique_constraint` are extensions available only for the PostgreSQL adapter. These delegate the given arguments to `SchemaStatements#add_exclusion_constraint` etc.  but the current implementation receives all arguments as an array  so keyword arguments cannot be passed correctly.
 As a result  method calls that pass keyword arguments always result in an argument error.
 
 This change fixes this issue by forwarding arguments using `...`.
 
 Currently  `t.validate_constraint` and `t.validate_check_constraint` do not accept keyword arguments  but we changes them in preparation for the future.
 
 ### Additional information
 
 <!-- Provide additional information such as benchmarks  references to other repositories  or alternative solutions. -->
 
 ### Checklist
 
 Before submitting the PR make sure the following are checked:
 
 * [x] This Pull Request is related to one change. Unrelated changes should be opened in separate PRs.
 * [x] Commit message has a detailed description of what changed and why. If this PR fixes a related issue include it in the commit message. Ex: `[Fix #issue-number]`
 * [x] Tests are added or updated if you fix a bug or add a feature.
 * [x] CHANGELOG files are updated for the changed libraries if there is a behavior change or additional feature. Minor bug fixes and documentation changes should not be included.
 ",closed,activerecord/lib/active_record/connection_adapters/postgresql/schema_definitions.rb; activerecord/test/cases/migration/change_table_test.rb,wata727,2025-02-08T14:38:29Z,2025-02-08T16:10:47Z

54433,54437,Allow to skip HashWithIndifferentAccess value conversion,"Fix: https://github.com/rails/rails/issues/54433
 
 And use it to avoid casting hash values in ActiveModel::Dirty.
 
 This is a tentative fix  I'm not particularly happy with it  but I can't think of any better solution. @matthewd what do you think?",closed,activemodel/lib/active_model/attribute_mutation_tracker.rb; activerecord/lib/active_record/store.rb; activerecord/test/cases/store_test.rb; activerecord/test/models/admin/user.rb; activesupport/lib/active_support/hash_with_indifferent_access.rb,byroot,2025-02-05T10:03:04Z,2025-02-09T08:22:36Z

54432,54440,Handle connection pool errors in Redis and Memcached stores,"Fix: https://github.com/rails/rails/issues/54432
 ",closed,activesupport/lib/active_support/cache/mem_cache_store.rb; activesupport/lib/active_support/cache/redis_cache_store.rb,byroot,2025-02-05T18:52:54Z,2025-02-05T20:11:38Z

54432,54460,Handle ConnectionPool::TimeoutError in Redis and Memcached stores,"### Motivation / Background
 #54440 only handles `ConnectionPool::Error`  not `ConnectionPool::Timeout`. The `ConnectionPool::TimeoutError` does not inherit from `ConnectionPool::Error`.
 
 ### Detail
 I updated the code to also rescue `ConnectionPool::Timeout` and added corresponding tests.
 
 ### Additional information
 
 - rails#54432
 - rails#54440
 ",closed,activesupport/lib/active_support/cache/mem_cache_store.rb; activesupport/lib/active_support/cache/redis_cache_store.rb; activesupport/test/cache/behaviors/connection_pool_behavior.rb; activesupport/test/cache/stores/redis_cache_store_test.rb,ryush00,2025-02-07T11:29:08Z,2025-02-07T13:00:41Z

54419,54420,Explicitly call I18n.exception_handler on missing translation,"Fix: https://github.com/rails/rails/issues/54419
 
 Since `TranslationHelper#translate` always sets a `default`  missing translation is never considered like an error by `I18n` and the error handler is never called.
 
 This makes I18n's exception handler pretty much unusable.
 
 The solution is to explicitly call it ourselves  but the downside is we need to allocate that exception  which isn't free  but supposedly it's not expected to happen often.
 
 Not sure if it is something we want to backport  though. Probably not.",closed,actionview/lib/action_view/helpers/translation_helper.rb; actionview/test/template/translation_helper_test.rb,byroot,2025-02-02T09:33:50Z,2025-02-03T08:54:06Z

54357,54371,Fix `rotate(on_on_rotation:)` and `#on_rotation`,"Ref: https://github.com/rails/rails/pull/44179
 Fix: https://github.com/rails/rails/issues/54357
 
 `MessageVerifier` and `MessageEncryptor` were intended to accept an `on_rotation` callback from the `#rotate` method or from the `#on_rotation` method.
 
 This is particularly useful for codecs that aren't created by the user  but by the framework  like `ActiveRecord::Base.signed_id_verifier`
 
 cc @AliSepehri  @jonathanhefner 
 
 We should backport this to 8.0 and 7.2 (potentially 7.1?)  because it was a documented feature  but never worked.
 ",closed,activesupport/lib/active_support/messages/rotator.rb; activesupport/test/messages/message_rotator_tests.rb,byroot,2025-01-27T11:01:43Z,2025-01-27T11:27:12Z

54343,54366,`PoolConfig` no longer keeps a reference to the connection class (attempt 3),"### Motivation / Background
 
 Alt to https://github.com/rails/rails/pull/54350 and https://github.com/rails/rails/pull/54349  fixes https://github.com/rails/rails/issues/54343
 
 
 ### Detail
 
 This is variation on #54349 that extends `ConnectionHandler::StringConnectionName` to track `primary_class?`  and introduces `ActiveRecord::Base.preventing_writes?` that will accept a connection name and do the same thing that `current_preventing_writes` does on a record class.
 
 
 ### Checklist
 
 Before submitting the PR make sure the following are checked:
 
 * [x] This Pull Request is related to one change. Unrelated changes should be opened in separate PRs.
 * [x] Commit message has a detailed description of what changed and why. If this PR fixes a related issue include it in the commit message. Ex: `[Fix #issue-number]`
 * [-] Tests are added or updated if you fix a bug or add a feature.
 * [x] CHANGELOG files are updated for the changed libraries if there is a behavior change or additional feature. Minor bug fixes and documentation changes should not be included.
 ",closed,activerecord/CHANGELOG.md; activerecord/lib/active_record/connection_adapters/abstract/connection_handler.rb; activerecord/lib/active_record/connection_adapters/abstract/connection_pool.rb; activerecord/lib/active_record/connection_adapters/abstract_adapter.rb; activerecord/lib/active_record/connection_adapters/pool_config.rb; activerecord/lib/active_record/core.rb; activerecord/test/cases/connection_adapters/connection_swapping_nested_test.rb; activerecord/test/cases/multi_db_migrator_test.rb,flavorjones,2025-01-26T22:16:13Z,2025-01-27T17:23:01Z

54311,54314,Fix `serialize coder: JSON  type: Hash` to wrap the coder in `ColumnSerializer`,"Fix: https://github.com/rails/rails/issues/54311
 
 cc @djmb @matthaigh27",closed,activerecord/lib/active_record/attribute_methods/serialization.rb; activerecord/test/cases/serialized_attribute_test.rb,byroot,2025-01-21T13:31:32Z,2025-01-21T14:28:53Z

54297,54306,Fix routes being cleared when using `reload_routes!`:,"## Fix routes being cleared when using `reload_routes!`:
 
 ### Motivation / Background
 
 Pretty sure it fixes #54297 and #53205  but both issues didn't provide enough information.
 Though it fixes a legitimate issue on a public API method.
 
 ### Detail
 
 When using `Rails.application.reload_routes!` (which is public API)  in certain conditions  it is possible that this will clear almost all routes in the routeset.
 
 The line of code making this happen is this one. https://github.com/rails/rails/blob/38e9a72db45842d1d2f05fb2272df3a10225f981/actionpack/lib/action_dispatch/routing/route_set.rb#L460
 
 That flag is supposed to be `true` for the entire duration of evaluating multiple route files. This was the case before https://github.com/rails/rails/pull/53522  which introduced the issue. It indirectly resets that flag to false because of a recursion. This is a summary of the code order execution when calling `Rails.application.reload_routes`:
 
 1) The RouteSet sets the `disable_clear_and_finalize` flag to false  so that no routes gets cleared in between multiple call to `Rails.application.routes.draw`. [here](https://github.com/rails/rails/blob/38e9a72db45842d1d2f05fb2272df3a10225f981/railties/lib/rails/application/routes_reloader.rb#L57)
 2) All route files get evaluated  and any call to `Rails.application.routes.draw` gets picked up.
 3) We enter a recursion because the RouteSet in development is a LazyRouteSet which when calling `draw` reloads the route. [here](https://github.com/rails/rails/blob/38e9a72db45842d1d2f05fb2272df3a10225f981/railties/lib/rails/engine/lazy_route_set.rb#L72) and [here](https://github.com/rails/rails/blob/38e9a72db45842d1d2f05fb2272df3a10225f981/railties/lib/rails/application.rb#L163)
 4) All route files get evaluated again  the `disable_clear_and_finalize` is reset to false  we exit the recursion and continue where we were.
 5) The `disable_clear_and_finalize` is now false  any call to `Rails.application.draw` now resets all routes before it gets evaluated. Which basically means the very last one would have effect.
 
 ------------------------
 
 I can only think of two way where `reload_routes` may cause a issue:
 
 - Inside a Rake task
 - Inside a middleware
 
 This is because the application needs to be initialized and the routeset never evaluated in order to trigger the bug. https://github.com/railsware/js-routes/pull/320 and https://github.com/amatsuda/traceroute/issues/49 confirms it.
 
 ## Solution
 
 When calling `reload_routes!`  if the routes were never loaded  load them and set the `loaded` flag. Otherwise  also load them but with the difference that with the `loaded` flag set  we won't reset all routes.
 
 ### Checklist
 
 Before submitting the PR make sure the following are checked:
 
 * [x] This Pull Request is related to one change. Unrelated changes should be opened in separate PRs.
 * [x] Commit message has a detailed description of what changed and why. If this PR fixes a related issue include it in the commit message. Ex: `[Fix #issue-number]`
 * [x] Tests are added or updated if you fix a bug or add a feature.
 * [x] CHANGELOG files are updated for the changed libraries if there is a behavior change or additional feature. Minor bug fixes and documentation changes should not be included.
 ",closed,actionpack/CHANGELOG.md; railties/lib/rails/application.rb; railties/lib/rails/application/routes_reloader.rb; railties/test/application/rake_test.rb,Edouard-chin,2025-01-21T05:00:50Z,2025-01-27T20:15:44Z

54267,54273,Prevent persisting invalid record:,"Prevent persisting invalid record:
 
 - Fix #54267
 
 ### Motivation / Background
 
 - In #53951  the goal was to allow saving a record and its association even if the association had existing invalid records in the DB. We would not validate the association in that case.
 
   The problem of not validating  is that it stops the validation chain and it's possible that other records in subsequent relations are being modified and are invalid. e.g. `Company -has_many-> Developers -has_many-> Computers`  if a computer is changed with invalid value and the company get saved  this would bypass the computer validation and persist it.
 
   This commit fixes that by ensuring there are no validation errors from *changed* records in the whole association chain.
 
 This Pull Request has been created because [REPLACE ME]
 
 ### Checklist
 
 Before submitting the PR make sure the following are checked:
 
 * [x] This Pull Request is related to one change. Unrelated changes should be opened in separate PRs.
 * [x] Commit message has a detailed description of what changed and why. If this PR fixes a related issue include it in the commit message. Ex: `[Fix #issue-number]`
 * [x] Tests are added or updated if you fix a bug or add a feature.
 * [ ] CHANGELOG files are updated for the changed libraries if there is a behavior change or additional feature. Minor bug fixes and documentation changes should not be included.
 ",closed,activerecord/lib/active_record/autosave_association.rb; activerecord/test/cases/autosave_association_test.rb; activerecord/test/cases/nested_attributes_test.rb; activerecord/test/models/treasure.rb,Edouard-chin,2025-01-17T00:51:46Z,2025-01-20T09:27:02Z

54263,54264,Ensure the logger gem is loaded in Rails 7.0,"### Motivation / Background
 
 This Pull Request has been created because the `concurrent-ruby` gem's version 1.3.5 no longer loads the `logger` gem which breaks the internal logic of the `ActiveSupport::LoggerThreadSafeLevel` module.
 
 This relates to the following commit in the `concurrent-ruby` gem included in version 1.3.5: https://github.com/ruby-concurrency/concurrent-ruby/commit/d7ce956dacd0b772273d39b8ed31a30cff7ecf38
 
 ### Detail
 
 This Pull Request changes the assumption that `concurrent-ruby` loads the `logger` gem.
 
 ### Additional information
 
 Fixes #54260 
 Fixes #54263
 
 ### Checklist
 
 Before submitting the PR make sure the following are checked:
 
 * [x] This Pull Request is related to one change. Unrelated changes should be opened in separate PRs.
 * [x] Commit message has a detailed description of what changed and why. If this PR fixes a related issue include it in the commit message. Ex: `[Fix #issue-number]`
 * [ ] Tests are added or updated if you fix a bug or add a feature. - Not sure how to test this as tests would need to be added for different versions of `concurrent-ruby`
 * [x] CHANGELOG files are updated for the changed libraries if there is a behavior change or additional feature. Minor bug fixes and documentation changes should not be included. - I believe this is minor?
 ",closed,activesupport/lib/active_support/logger_thread_safe_level.rb,ahukkanen,2025-01-16T09:23:01Z,2025-01-16T09:57:42Z

54260,54264,Ensure the logger gem is loaded in Rails 7.0,"### Motivation / Background
 
 This Pull Request has been created because the `concurrent-ruby` gem's version 1.3.5 no longer loads the `logger` gem which breaks the internal logic of the `ActiveSupport::LoggerThreadSafeLevel` module.
 
 This relates to the following commit in the `concurrent-ruby` gem included in version 1.3.5: https://github.com/ruby-concurrency/concurrent-ruby/commit/d7ce956dacd0b772273d39b8ed31a30cff7ecf38
 
 ### Detail
 
 This Pull Request changes the assumption that `concurrent-ruby` loads the `logger` gem.
 
 ### Additional information
 
 Fixes #54260 
 Fixes #54263
 
 ### Checklist
 
 Before submitting the PR make sure the following are checked:
 
 * [x] This Pull Request is related to one change. Unrelated changes should be opened in separate PRs.
 * [x] Commit message has a detailed description of what changed and why. If this PR fixes a related issue include it in the commit message. Ex: `[Fix #issue-number]`
 * [ ] Tests are added or updated if you fix a bug or add a feature. - Not sure how to test this as tests would need to be added for different versions of `concurrent-ruby`
 * [x] CHANGELOG files are updated for the changed libraries if there is a behavior change or additional feature. Minor bug fixes and documentation changes should not be included. - I believe this is minor?
 ",closed,activesupport/lib/active_support/logger_thread_safe_level.rb,ahukkanen,2025-01-16T09:23:01Z,2025-01-16T09:57:42Z

54241,54691,Fix channel generator import statement:,"### Motivation / Background
 
 Fix #54241
 
 ### Detail
 
 #### Problem
 
 The `import` statement generated is incorrect for Rails applications using importmap and a css processor.
 
 #### Context
 
 Rails applications using `importmap` and having a `package.json`  would get a `channel.js` file generated with a relative path  whereas the correct import statement needs to match the name of the importmap json keys.
 
 This is because the generator assumes that if a `package.json` exists in the project  this means it uses a javascript bundling tool. This assumption is not correct as one can be using importmap while still having `package.json` for processing css. This is the case when you generate your application like this: `rails new blorgh --css postcss`
 
 #### Solution
 
 Add the right import statement by checking if the project uses importmap.
 
 ### Checklist
 
 Before submitting the PR make sure the following are checked:
 
 * [x] This Pull Request is related to one change. Unrelated changes should be opened in separate PRs.
 * [x] Commit message has a detailed description of what changed and why. If this PR fixes a related issue include it in the commit message. Ex: `[Fix #issue-number]`
 * [x] Tests are added or updated if you fix a bug or add a feature.
 * [ ] CHANGELOG files are updated for the changed libraries if there is a behavior change or additional feature. Minor bug fixes and documentation changes should not be included.
 ",closed,actioncable/lib/rails/generators/channel/channel_generator.rb; railties/test/generators/channel_generator_test.rb,Edouard-chin,2025-03-04T23:38:16Z,2025-03-05T05:40:37Z

54229,54236,Fix incorrect expiration time in ActiveSupport::Cache::Store#fetch,"### Motivation / Background
 Fixes #54229
 ActiveSupport::Cache::Store#fetch
 
 ### Detail
 ActiveSupport::Cache::Store#fetch write a the stale value during
 race_condition_ttl time window so the current process have time to
 process the block  and cache serve the stale value for other callers
 The stale value is written for expires_in =  2*race_condition_ttl  but
 the expires_in is leaked through options hash.
 When the process set the value at the end instead of using the
 expires_at/expires_in supplied in fetch  it uses 2*race_condition_ttl
 that was set previously
 The commit fix this behavior and ensure we use the correct expiration
 for the newly computed value
 
 ### Checklist
 
 Before submitting the PR make sure the following are checked:
 
 * [X] This Pull Request is related to one change. Unrelated changes should be opened in separate PRs.
 * [X] Commit message has a detailed description of what changed and why. If this PR fixes a related issue include it in the commit message. Ex: `[Fix #issue-number]`
 * [X] Tests are added or updated if you fix a bug or add a feature.
 * [X] CHANGELOG files are updated for the changed libraries if there is a behavior change or additional feature. Minor bug fixes and documentation changes should not be included.
 ",closed,activesupport/lib/active_support/cache.rb; activesupport/test/cache/behaviors/cache_store_behavior.rb,mk-dhia,2025-01-14T07:11:41Z,2025-01-14T08:42:21Z

54162,54372,[ci skip] Clarify the doc for creating links:,"- We mention how `*_path` works with various examples and suddenly use a code snippet that don't use the `*_path` method.
 
   Modified the doc to use `product_path(product.id)`  to make it explicit. While it's longer  it's clearer  especially since we are in the ""getting started guide""
 
   I don't think mentioning how `link_to(product)` works is a good idea in this guide  the `link_to` accepts a crazy amount of different values with many heuristics to determine the url to generate. This is documented in the action view guide and in the API. Let's keep it simple in the Getting Started guide.
 
   Fix #54162
 
 
 ",closed,guides/source/getting_started.md,Edouard-chin,2025-01-27T11:50:54Z,2025-02-04T10:13:50Z

54140,54141,Fix: ensure PostgreSQL enum types can contain commas,"### Motivation / Background
 
 PostgreSQL enums can have commas in their values  but this is not supported by the current implementation in ActiveRecord::ConnectionAdapters::PostgreSQL::SchemaDumper
 
